Name,Tier
Abel: The Panther,4
Alfonse: Prince of Askr,5
Alfonse: Spring Prince,3
Alm: Hero of Prophecy,1
Amelia: Rose of the War,1
Anna: Commander,4
Arden: Strong and Tough,2
Ares: Black Knight,1
Arthur: Hapless Hero,5
Arvis: Emperor of Flame,3
Athena: Borderland Sword,3
Ayra: Astra's Wielder,0
Azama: Carefree Monk,4
Azura: Celebratory Spirit,1
Azura: Lady of Ballads,1
Azura: Lady of the Lake,2
Barst: The Hatchet,4
Bartre: Fearless Warrior,4
Berkut: Prideful Prince,5
Beruka: Quiet Assassin,4
Black Knight: Sinister General,1
Boey: Skillful Survivor,4
Caeda: Talys's Bride,3
Caeda: Talys's Heart,3
Cain: The Bull,4
Camilla: Bewitching Beauty,3
Camilla: Holiday Traveler,2
Camilla: Spring Princess,3
Camus: Sable Knight,3
Catria: Middle Whitewing,4
Catria: Spring Whitewing,2
Cecilia: Etrurian General,3
Celica: Caring Princess,2
Celica: Imprisoned Soul,2
Charlotte: Money Maiden,3
Cherche: Wyvern Friend,2
Chrom: Exalted Prince,2
Chrom: Gifted Leader,1
Chrom: Knight Exalt,3
Chrom: Spring Exalt,3
Clair: Highborn Flier,3
Clarine: Refined Noble,2
Clarisse: Sniper in the Dark,5
Clive: Idealistic Knight,5
Cordelia: Knight Paragon,1
Cordelia: Perfect Bride,2
Corrin: Enjoying Tradition,4
Corrin: Fateful Prince,3
Corrin: Fateful Princess,1
Corrin: Novice Vacationer,2
Deirdre: Lady of the Forest,3
Delthea: Free Spirit,2
Donnel: Village Hero,3
Dorcas: Serene Warrior,1
Draug: Gentle Giant,2
Effie: Army of One,1
Eirika: Anamnesis Lady,2
Eirika: Restoration Lady,3
Eldigan: Lionheart,2
Elincia: Lost Princess,1
Elise: Budding Flower,1
Elise: Tropical Flower,3
Eliwood: Devoted Love,2
Eliwood: Knight of Lycia,3
Ephraim: Legendary Lord,2
Ephraim: Restoration Lord,1
Est: Junior Whitewing,3
Fae: Divine Dragon,1
Faye: Devoted Heart,3
Felicia: Maid Mayhem,3
Finn: Lance of Legend,4
Fir: Sword Student,3
Fjorm: Princess of Ice,3
Florina: Lovely Flier,5
Frederick: Horizon Watcher,4
Frederick: Polite Knight,3
Gaius: Candy Stealer,4
Gaius: Thief Exposed,3
Genny: Endearing Ally,3
Gerome: Masked Rider,3
Gordin: Altean Archer,4
Gray: Wry Comrade,3
GunnthrÃ¡: Voice of Dreams,2
Gunter: Inveterate Soldier,6
Gwendolyn: Adorable Knight,2
Hana: Focused Samurai,3
Hardin: Dark Emperor,0
Hawkeye: Desert Guardian,4
Hector: General of Ostia,0
Hector: Just Here to Fight,0
Henry: Happy Vampire,2
Henry: Twisted Mind,5
Hinata: Wild Samurai,3
Hinoka: Blue Sky Warrior,1
Hinoka: Warrior Princess,2
Ike: Brave Mercenary,1
Ike: Vanguard Legend,1
Ike: Young Mercenary,2
Inigo: Indigo Dancer,2
Innes: Regal Strategician,2
Ishtar: Thunder Goddess,1
Jaffar: Angel of Death,5
Jagen: Veteran Knight,6
Jakob: Devoted Monster,0
Jakob: Devoted Servant,6
Jeorge: Perfect Shot,3
Joshua: Tempest King,4
Julia: Naga's Blood,3
Julius: Scion of Darkness,3
Kagero: Honorable Ninja,3
Kagero: Spring Ninja,2
Kana: Dragon Princess,1
Kana: Dragon Spawn,1
Karel: Sword Demon,2
Katarina: Wayward One,3
Kaze: Easygoing Ninja,4
Klein: Silver Nobleman,3
L'Arachel: Princess of Light,3
Lachesis: Lionheart's Sister,4
Laslow: Dancing Duelist,4
Legion: Masked Maniac,4
Leif: Prince of Leonster,2
Lene: Yearning Dancer,2
Leo: Seashore's Prince,5
Leo: Sorcerous Prince,4
Leon: True of Heart,3
Lilina: Blush of Youth,3
Lilina: Delightful Noble,2
Linde: Light Mage,2
Lissa: Pure Joy,1
Lissa: Sprightly Cleric,6
Lloyd: White Wolf,4
Lon'qu: Solitary Blade,4
Lucina: Brave Princess,2
Lucina: Future Witness,1
Lucina: Spring Exalt,3
Lucius: The Light,3
Lukas: Sharp Soldier,3
Luke: Rowdy Squire,5
Lute: Prodigy,2
Lyn: Brave Lady,0
Lyn: Bride of the Plains,4
Lyn: Lady of the Plains,3
Lyn: Lady of the Wind,3
Lyn: Wind's Embrace,2
Lyon: Shadow Prince,3
Mae: Bundle of Energy,3
Maria: Minerva's Sister,3
Marisa: Crimson Flash,4
Marth: Altean Prince,2
Marth: Enigmatic Blade,2
Mathilda: Legendary Knight,5
Matthew: Faithful Spy,6
Merric: Wind Mage,4
Mia: Lady of Blades,1
Micaiah: Priestess of Dawn,2
Michalis: Ambitious King,3
Minerva: Red Dragoon,2
Mist: Helpful Sister,6
Morgan: Lad from Afar,3
Morgan: Lass from Afar,3
Myrrh: Great Dragon,0
Nanna: Nordion Princess,2
Narcian: Wyvern General,5
Navarre: Scarlet Sword,5
Nephenee: Fierce Halberdier,3
Niles: Cruel to Be Kind,4
Ninian: Oracle of Destiny,2
Nino: Pious Mage,3
Nowi: Eternal Witch,2
Nowi: Eternal Youth,0
Oboro: Fierce Fighter,4
Odin: Potent Force,6
Ogma: Loyal Blade,3
Oliver: Admirer of Beauty,5
Olivia: Blushing Beauty,2
Olivia: Festival Dancer,2
Olwen: Blue Mage Knight,3
Olwen: Righteous Knight,2
Oscar: Agile Horseman,3
Palla: Eldest Whitewing,4
Peri: Playful Slayer,3
Priscilla: Delicate Princess,2
Raigh: Dark Child,5
Raven: Peerless Fighter,2
Rebecca: Wildflower,5
Reinhardt: Thunder's Fist,1
Reinhardt: Thunder's Sword,1
Rhajat: Black Magician,3
Robin: Fell Reincarnation,0
Robin: Fell Vessel,2
Robin: Festive Tactician,1
Robin: High Deliverer,4
Robin: Mystery Tactician,4
Robin: Seaside Tactician,3
Roderick: Steady Squire,4
Roy: Brave Lion,2
Roy: Young Lion,3
Roy: Youthful Gifts,2
Ryoma: Peerless Samurai,2
Saber: Driven Mercenary,4
Saias: Bishop of Flame,3
Saizo: Angry Ninja,4
Sakura: Gentle Nekomata,3
Sakura: Loving Priestess,5
Sanaki: Begnion's Apostle,2
Selena: Cutting Wit,4
Seliph: Heir of Light,4
Serra: Outspoken Cleric,3
Seth: Silver Knight,4
